Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LUNAR1,12.4788324,-5.198900665,0.932818288,-5.573326268,2.50E-08,1.26E-06
IARS1,1893.693763,1.173561747,0.210577229,5.573070528,2.50E-08,1.26E-06
DNAJC18,321.3910136,-1.690757638,0.303481483,-5.57120528,2.53E-08,1.27E-06
GAB1,5860.817944,-1.046638795,0.187935529,-5.569137471,2.56E-08,1.28E-06
ASB11,7.674925675,-4.462551576,0.801911206,-5.564894897,2.62E-08,1.31E-06
S100P,102.6775225,3.361777327,0.604297612,5.563115359,2.65E-08,1.32E-06
RPS15AP1,91.39170373,2.213412218,0.397985283,5.561542886,2.67E-08,1.32E-06
XPNPEP2,46.57438831,3.020944014,0.543185224,5.561535699,2.67E-08,1.32E-06
LEFTY2,24.69082358,-3.951834325,0.711570982,-5.553675496,2.80E-08,1.38E-06
SBSPON,976.8551989,-1.643984052,0.296039295,-5.553262951,2.80E-08,1.38E-06
KRT4,70.52858897,-3.778028903,0.680481132,-5.551996557,2.82E-08,1.39E-06
SRRM2,19321.75006,-1.035314541,0.186508353,-5.55103578,2.84E-08,1.39E-06
GCA,1405.734979,1.361185541,0.245665851,5.540800779,3.01E-08,1.47E-06
BCAT1,2381.731019,1.555971357,0.280866703,5.539892556,3.03E-08,1.48E-06
OR5BT1P,14.63540929,-5.632869036,1.017091732,-5.538211409,3.06E-08,1.49E-06
H19,504.4295811,1.749360735,0.316127909,5.53371179,3.14E-08,1.52E-06
SERPINB2,183.8651812,4.387543782,0.793406885,5.530004675,3.20E-08,1.54E-06
EGFEM1P,161.6508763,-2.755435892,0.499638942,-5.514854148,3.49E-08,1.67E-06
TNNC1,38.02607632,-2.895026749,0.524994587,-5.514393515,3.50E-08,1.67E-06
PARD3B,1222.827609,-1.148725401,0.208383421,-5.512556599,3.54E-08,1.69E-06
MT1L,163.3134778,2.834023362,0.514246156,5.511024887,3.57E-08,1.70E-06
H2BC5,117.5312369,2.217372847,0.402509749,5.508867425,3.61E-08,1.71E-06
LINC02242,5.753848119,-4.987763873,0.905607933,-5.507641542,3.64E-08,1.72E-06
COLGALT1,400.6353304,1.20463748,0.218779924,5.506160979,3.67E-08,1.73E-06
CENPF,726.4424138,2.781810963,0.505463275,5.503487795,3.72E-08,1.76E-06
DPP6,246.1593927,-3.647583469,0.663188097,-5.500073785,3.80E-08,1.78E-06
GKN2,139.37683,-2.85149556,0.518454352,-5.499993489,3.80E-08,1.78E-06
PER3,1343.228492,-1.778938395,0.323591062,-5.497489273,3.85E-08,1.80E-06
TNR,389.9460778,-4.004552252,0.72922627,-5.491508491,3.99E-08,1.86E-06
ZNF710,78.31688552,-2.132347328,0.388373553,-5.490454515,4.01E-08,1.87E-06
VDAC2P2,18.86559228,-4.2716838,0.779043345,-5.483242781,4.18E-08,1.94E-06
SERPINB13,67.04947784,5.75629242,1.050863732,5.477677312,4.31E-08,2.00E-06
H2AC6,1217.889889,1.721433101,0.314270139,5.477558587,4.31E-08,2.00E-06
SLC14A1,314.2481687,-2.559549134,0.467347074,-5.476762941,4.33E-08,2.00E-06
RPL6P27,84.39023427,1.858737883,0.339989089,5.467051577,4.58E-08,2.11E-06
ADAMDEC1,201.3271875,4.610806537,0.843704662,5.464953253,4.63E-08,2.13E-06
ATIC,341.9882708,1.494184926,0.273460091,5.463996301,4.66E-08,2.13E-06
CBX3,2936.32829,1.372786547,0.251262462,5.463556053,4.67E-08,2.13E-06
RPS12P16,91.79132477,-1.584743954,0.290168349,-5.46146387,4.72E-08,2.15E-06
TSPAN32,33.83880121,-3.332953852,0.610343814,-5.460780918,4.74E-08,2.16E-06
ACTG1,6980.818695,1.044871432,0.191423058,5.458440809,4.80E-08,2.18E-06
ARRB1,874.8909799,-2.26062773,0.414483392,-5.454085193,4.92E-08,2.23E-06
SFTA3,618.1895906,-2.240040151,0.410905482,-5.451473023,5.00E-08,2.26E-06
GPR153,63.73567543,-2.078414039,0.381706852,-5.445053003,5.18E-08,2.33E-06
RPS2P7,15.17699474,2.126596689,0.390933856,5.439786437,5.33E-08,2.40E-06
C1QTNF7,1041.613735,-1.769279701,0.32595323,-5.42801708,5.70E-08,2.54E-06
CHRM3,237.4876366,-1.541086584,0.284139931,-5.423688876,5.84E-08,2.60E-06
RAB40B,226.3089854,-1.250433152,0.230642213,-5.421527732,5.91E-08,2.63E-06
SUCLA2P2,5.248407761,-5.534344523,1.021362477,-5.41859002,6.01E-08,2.66E-06
LINC02880,74.25481518,-2.263045656,0.41771011,-5.417742112,6.04E-08,2.67E-06
UGDH,1262.428374,1.248835243,0.230570576,5.416281918,6.09E-08,2.68E-06
LINC01312,15.30962811,-3.694752914,0.682176292,-5.416126239,6.09E-08,2.68E-06
IPO5P1,103.5486341,-2.566674407,0.474588538,-5.408209849,6.37E-08,2.80E-06
OR51K1P,9.248671119,-5.392633642,0.998273139,-5.40196208,6.59E-08,2.87E-06
USH2A,68.40328754,-3.397258492,0.628927694,-5.401667826,6.60E-08,2.87E-06
SAA2,51.58206873,4.814044499,0.892239672,5.395461162,6.83E-08,2.96E-06
ACTN2,135.0322983,-3.022782415,0.56031562,-5.394785198,6.86E-08,2.97E-06
EIF4A1P13,17.35513521,-7.250142834,1.344771588,-5.391356346,6.99E-08,3.02E-06
MLANA,94.88300984,-1.753426017,0.32530451,-5.390106697,7.04E-08,3.03E-06
ADAMTSL3,1039.89169,-1.441681674,0.267537309,-5.388712631,7.10E-08,3.05E-06
CCNI2,30.00600444,-3.308647762,0.614432269,-5.384886066,7.25E-08,3.11E-06
PHYKPL,753.1878659,-1.100317879,0.20439913,-5.383182804,7.32E-08,3.13E-06
GDF10,183.5797136,-3.043557229,0.565762567,-5.379566285,7.47E-08,3.19E-06
MEGF6,475.1173862,-2.087604536,0.388328708,-5.375869698,7.62E-08,3.25E-06
RRM2,261.1931811,3.172248023,0.59012328,5.375568346,7.63E-08,3.25E-06
HMMR,200.3111644,3.560592321,0.662846143,5.371672384,7.80E-08,3.31E-06
COL4A4,1282.75747,-1.617010653,0.301150144,-5.36945004,7.90E-08,3.34E-06
SOD2,43541.10729,2.54294789,0.473910081,5.365886886,8.06E-08,3.40E-06
LGI2,139.769216,2.956971388,0.551198594,5.364620704,8.11E-08,3.42E-06
HNRNPA3P14,4.476595256,-5.295444519,0.987113665,-5.364574219,8.11E-08,3.42E-06
PURPL,31.53671026,4.305765359,0.803024644,5.36193427,8.23E-08,3.46E-06
AKAP7,519.0024972,-2.111361623,0.393937246,-5.359639497,8.34E-08,3.49E-06
METTL15P1,40.4521681,-2.68242051,0.500642835,-5.357952463,8.42E-08,3.52E-06
HDC,52.37615426,-3.264329036,0.609361279,-5.356968266,8.46E-08,3.53E-06
CPAMD8,349.3553062,-1.775493364,0.331518795,-5.355634104,8.53E-08,3.55E-06
H3-3A,1353.713421,1.042590818,0.194776405,5.352757282,8.66E-08,3.60E-06
NLRP1,841.2074999,-1.296166454,0.242764785,-5.339186463,9.34E-08,3.86E-06
ADIRF-AS1,129.9738439,-2.89656321,0.542837761,-5.335964844,9.50E-08,3.92E-06
BMP1,126.4804173,-1.898521844,0.35586302,-5.3349793,9.56E-08,3.93E-06
LIFR-AS1,93.0527397,-2.379503874,0.446277913,-5.331888058,9.72E-08,3.99E-06
MCM4,312.756266,1.183072262,0.221911263,5.331285325,9.75E-08,4.00E-06
PLSCR1,6068.346584,1.089077819,0.204300461,5.33076534,9.78E-08,4.00E-06
LINC00710,470.5283425,-2.797784862,0.524914611,-5.329980916,9.82E-08,4.01E-06
NPM1P31,15.40092998,3.460039304,0.649230059,5.329450258,9.85E-08,4.01E-06
FREM2,694.6605573,-2.263466729,0.425122545,-5.324268856,1.01E-07,4.12E-06
C1orf198,1688.689643,-1.211451004,0.2277117,-5.32010873,1.04E-07,4.21E-06
LGR5,124.8982939,-2.735428337,0.514358138,-5.318139508,1.05E-07,4.24E-06
CISD1P1,10.57489957,-5.599102101,1.053458976,-5.314969286,1.07E-07,4.30E-06
SLC9B1,44.76585659,-1.973810983,0.371806975,-5.308698104,1.10E-07,4.45E-06
IGSF10,12163.39786,-2.123489505,0.40029163,-5.30485612,1.13E-07,4.53E-06
SEMA6D,1349.428521,-1.860816932,0.350828674,-5.304061693,1.13E-07,4.54E-06
RPS2,2618.531427,1.206147834,0.227512633,5.301454332,1.15E-07,4.59E-06
LINC01756,10.51497998,-6.200796961,1.169878674,-5.300376096,1.16E-07,4.61E-06
EYA4,1050.870012,-1.655086818,0.312370567,-5.298472361,1.17E-07,4.65E-06
RNF175,155.1786521,1.488487789,0.281037118,5.29640996,1.18E-07,4.69E-06
AATK,102.5239421,-2.254494464,0.42571667,-5.295762706,1.19E-07,4.70E-06
DAP3,684.9981481,1.355440486,0.256367437,5.287100826,1.24E-07,4.91E-06
RPL21P43,17.84235864,-4.149172176,0.785230604,-5.284017405,1.26E-07,4.98E-06
LMO7,4431.557128,-1.523231209,0.288657023,-5.276958759,1.31E-07,5.17E-06
MGAM,470.4116457,2.50856227,0.475603836,5.274478635,1.33E-07,5.23E-06
SERPINB3,458.258514,5.572041657,1.05793314,5.266912858,1.39E-07,5.44E-06
GRM8,23.66814279,-3.777338086,0.717300388,-5.266047741,1.39E-07,5.45E-06
RPL12P24,17.28230819,-2.500355347,0.47511735,-5.262605853,1.42E-07,5.54E-06
HHIP,1592.035724,-3.098191755,0.588864465,-5.261298552,1.43E-07,5.57E-06
CCK,9.302160107,-6.02592846,1.145820256,-5.259052133,1.45E-07,5.63E-06
FMO2,10996.66277,-2.161556248,0.411365152,-5.254592512,1.48E-07,5.76E-06
MTATP8P2,32.14568051,2.119600607,0.403397982,5.254365916,1.49E-07,5.76E-06
SIGLEC6,483.6447538,-2.693920782,0.51282434,-5.253106325,1.50E-07,5.79E-06
PPIAP52,115.9625818,-3.906217976,0.743692119,-5.252466544,1.50E-07,5.80E-06
CNNM2,899.5389457,-1.469030717,0.279746706,-5.251288711,1.51E-07,5.83E-06
